,Name,Skeleton 006:sternum 2,Skeleton 006:sternum 2.1,Skeleton 006:sternum 2.2,Skeleton 006:sternum 1,Skeleton 006:sternum 1.1,Skeleton 006:sternum 1.2,Skeleton 006:shoulder,Skeleton 006:shoulder.1,Skeleton 006:shoulder.2,Skeleton 006:elbow,Skeleton 006:elbow.1,Skeleton 006:elbow.2,Skeleton 006:humerus,Skeleton 006:humerus.1,Skeleton 006:humerus.2,Skeleton 006:forearm,Skeleton 006:forearm.1,Skeleton 006:forearm.2,Skeleton 006:wrist,Skeleton 006:wrist.1,Skeleton 006:wrist.2,Skeleton 006:ulnar,Skeleton 006:ulnar.1,Skeleton 006:ulnar.2,Skeleton 006:radial,Skeleton 006:radial.1,Skeleton 006:radial.2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,8,8,8,9,9,9,15,15,15,16,16,16,17,17,17,1A,1A,1A,1B,1B,1B,19,19,19,18,18,18
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
55,0.458333,1.056108,0.792670,0.263656,1.140498,0.765220,0.320091,1.113334,0.892986,0.089615,1.319434,0.995952,0.009162,1.207534,0.960514,0.065290,1.241010,0.933614,0.039209,1.191128,1.009120,0.118091,1.241017,1.020813,0.118645,1.164588,1.052928,0.111841
56,0.466667,1.056114,0.792674,0.263633,1.140503,0.765220,0.320067,1.113345,0.892997,0.089601,1.319457,0.995955,0.009164,1.207551,0.960521,0.065285,1.241023,0.933613,0.039200,1.191128,1.009118,0.118076,1.241015,1.020816,0.118628,1.164583,1.052923,0.111824
57,0.475000,1.056111,0.792671,0.263637,1.140502,0.765217,0.320069,1.113339,0.892994,0.089605,1.319453,0.995950,0.009171,1.207546,0.960517,0.065291,1.241019,0.933614,0.039206,1.191125,1.009124,0.118075,1.241012,1.020822,0.118636,1.164581,1.052928,0.111817
58,0.483333,1.055787,0.792799,0.263755,1.139700,0.765198,0.320825,1.114737,0.892636,0.090252,1.319637,0.996136,0.009192,1.207956,0.960450,0.065602,1.241315,0.933600,0.039314,1.191013,1.009160,0.117927,1.240852,1.021065,0.118379,1.164281,1.052829,0.111520
59,0.491667,1.056100,0.792652,0.263627,1.140496,0.765187,0.320046,1.113320,0.892993,0.089610,1.319446,0.995919,0.009146,1.207541,0.960500,0.065278,1.241004,0.933602,0.039185,1.191131,1.009124,0.118047,1.241019,1.020817,0.118623,1.164594,1.052932,0.111783
60,0.500000,1.056098,0.792673,0.263630,1.140491,0.765208,0.320053,1.113329,0.892994,0.089610,1.319447,0.995935,0.009175,1.207537,0.960510,0.065295,1.241006,0.933609,0.039207,1.191115,1.009124,0.118069,1.241003,1.020821,0.118638,1.164575,1.052930,0.111807
61,0.508333,1.056098,0.792661,0.263635,1.140491,0.765200,0.320059,1.113320,0.892995,0.089606,1.319441,0.995942,0.009167,1.207534,0.960512,0.065289,1.241003,0.933619,0.039199,1.191118,1.009136,0.118063,1.241006,1.020833,0.118631,1.164577,1.052941,0.111800
62,0.516667,1.056091,0.792651,0.263636,1.140486,0.765186,0.320056,1.113313,0.892985,0.089612,1.319438,0.995921,0.009163,1.207531,0.960497,0.065289,1.240996,0.933607,0.039196,1.191117,1.009130,0.118054,1.241005,1.020826,0.118625,1.164577,1.052937,0.111789
63,0.525000,1.056090,0.792653,0.263636,1.140480,0.765191,0.320064,1.113322,0.892989,0.089612,1.319443,0.995931,0.009161,1.207537,0.960504,0.065287,1.241003,0.933613,0.039194,1.191115,1.009138,0.118050,1.241004,1.020830,0.118620,1.164579,1.052946,0.111784
64,0.533333,1.056099,0.792681,0.263649,1.140486,0.765227,0.320086,1.113324,0.892993,0.089599,1.319449,0.995929,0.009152,1.207540,0.960508,0.065275,1.241011,0.933606,0.039194,1.191118,1.009135,0.118042,1.241006,1.020828,0.118614,1.164580,1.052942,0.111772
65,0.541667,1.056083,0.792663,0.263630,1.140468,0.765212,0.320071,1.113314,0.892991,0.089587,1.319473,0.995926,0.009185,1.207554,0.960503,0.065286,1.241024,0.933610,0.039202,1.191116,1.009142,0.118037,1.241003,1.020844,0.118610,1.164572,1.052943,0.111760
66,0.550000,1.056067,0.792693,0.263629,1.140456,0.765236,0.320063,1.113306,0.892992,0.089592,1.319454,0.995899,0.009164,1.207534,0.960494,0.065276,1.241006,0.933597,0.039199,1.191126,1.009138,0.118035,1.241014,1.020833,0.118617,1.164589,1.052944,0.111757
67,0.558333,1.056070,0.792702,0.263631,1.140454,0.765249,0.320073,1.113318,0.892997,0.089591,1.319469,0.995887,0.009137,1.207551,0.960491,0.065257,1.241018,0.933581,0.039180,1.191135,1.009125,0.118003,1.241021,1.020828,0.118600,1.164593,1.052927,0.111717
68,0.566667,1.056069,0.792696,0.263612,1.140451,0.765252,0.320062,1.113320,0.892993,0.089570,1.319483,0.995897,0.009151,1.207559,0.960494,0.065255,1.241030,0.933582,0.039180,1.191124,1.009121,0.118005,1.241010,1.020823,0.118585,1.164579,1.052921,0.111722
69,0.575000,1.056061,0.792702,0.263613,1.140440,0.765259,0.320068,1.113325,0.892992,0.089572,1.319479,0.995904,0.009151,1.207557,0.960496,0.065256,1.241028,0.933589,0.039178,1.191118,1.009130,0.118004,1.241005,1.020831,0.118579,1.164575,1.052932,0.111720
70,0.583333,1.056068,0.792726,0.263632,1.140443,0.765296,0.320099,1.113325,0.893002,0.089567,1.319480,0.995922,0.009152,1.207556,0.960513,0.065253,1.241035,0.933595,0.039189,1.191114,1.009134,0.118016,1.241002,1.020827,0.118585,1.164577,1.052940,0.111735
71,0.591667,1.056056,0.792750,0.263637,1.140429,0.765316,0.320104,1.113326,0.893000,0.089570,1.320681,0.995248,0.010528,1.208437,0.960176,0.066200,1.241268,0.932965,0.039422,1.189963,1.008848,0.117127,1.239475,1.022031,0.116304,1.161981,1.051679,0.110409
72,0.600000,1.056053,0.792742,0.263624,1.140426,0.765313,0.320095,1.113323,0.893004,0.089562,1.320673,0.995263,0.010515,1.208431,0.960184,0.066186,1.241270,0.932964,0.039415,1.189963,1.008830,0.117142,1.239480,1.021997,0.116328,1.161996,1.051672,0.110435
73,0.608333,1.056040,0.792725,0.263629,1.140413,0.765298,0.320100,1.113311,0.892990,0.089571,1.319466,0.995907,0.009162,1.207539,0.960500,0.065257,1.241024,0.933584,0.039199,1.191107,1.009125,0.118025,1.240996,1.020815,0.118602,1.164574,1.052933,0.111742
74,0.616667,1.056044,0.792738,0.263620,1.140412,0.765312,0.320099,1.113332,0.892999,0.089565,1.320687,0.995272,0.010553,1.208439,0.960186,0.066207,1.241281,0.932970,0.039437,1.189954,1.008834,0.117156,1.239469,1.022006,0.116338,1.161983,1.051673,0.110446
75,0.625000,1.056049,0.792759,0.263618,1.140419,0.765339,0.320096,1.113327,0.893007,0.089559,1.320680,0.995272,0.010538,1.208432,0.960192,0.066195,1.241279,0.932967,0.039435,1.189960,1.008832,0.117162,1.239477,1.021995,0.116340,1.161995,1.051676,0.110457
76,0.633333,1.056031,0.792729,0.263625,1.140400,0.765309,0.320105,1.113317,0.892992,0.089574,1.320675,0.995249,0.010532,1.208429,0.960171,0.066196,1.241273,0.932948,0.039431,1.189968,1.008811,0.117159,1.239483,1.021982,0.116348,1.161998,1.051651,0.110452
77,0.641667,1.056030,0.792729,0.263655,1.140397,0.765304,0.320136,1.113321,0.892989,0.089600,1.320665,0.995242,0.010531,1.208425,0.960166,0.066208,1.241267,0.932943,0.039443,1.189975,1.008808,0.117174,1.239492,1.021973,0.116369,1.162011,1.051653,0.110469
78,0.650000,1.056038,0.792745,0.263638,1.140404,0.765323,0.320123,1.113340,0.892997,0.089597,1.320680,0.995261,0.010554,1.208436,0.960181,0.066219,1.241281,0.932955,0.039456,1.189972,1.008818,0.117184,1.239487,1.021989,0.116369,1.162001,1.051658,0.110479
79,0.658333,1.056040,0.792738,0.263663,1.140402,0.765321,0.320155,1.113338,0.892992,0.089607,1.320680,0.995256,0.010553,1.208437,0.960176,0.066222,1.241286,0.932948,0.039465,1.189987,1.008810,0.117196,1.239502,1.021983,0.116385,1.162015,1.051649,0.110492
